GEO;GEO_OBJECT;OBS_STATUS;lcog_geo;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_soc;ind_inc;log;ind_0_17;ind_65p
CRS3035RES200mN3129400E3783800;C200M;I;59183;24;8.6;0.9;1.4;0.5;7.2;0.5;594465.9;901.1;0;8.6;0.5;0;8.6;4.1;5.5
CRS3035RES200mN3129400E3783600;C200M;I;59183;29;10.4;1.1;1.6;0.5;8.8;0.5;718312.9;1088.9;0;10.4;0.5;0;10.4;4.9;6.5
CRS3035RES200mN3129200E3783600;C200M;A;59183;159;87;27;45;4;54;3;3675866.9;7067;32;55;32;0;87;27;55
CRS3035RES200mN3129200E3783400;C200M;A;59183;167;75;17;27;6;42;6;3478420.1;6164;22;53;22;0;75;38;37
CRS3035RES200mN3129600E3783600;C200M;A;59183;115.5;43;2;10;5;37;2;2588301.7;3905;0;43;1;0;43;28.5;21
CRS3035RES200mN3129400E3783400;C200M;A;59183;212;79;7;13;8;66;9;4865713.5;7071;1;78;4;0;79;52;37
CRS3035RES200mN3129800E3783600;C200M;A;59183;181.5;73;6;20;4;64;4;3954606.2;5225;3;70;5;0;73;38.5;30
CRS3035RES200mN3129800E3783400;C200M;A;59183;31;11;1;2;1;10;0;745928.3;907;0;11;0;0;11;8;4
CRS3035RES200mN3129600E3783400;C200M;A;59183;135;63;12;23;2;43;4;2764329.7;5026;13;50;1;0;63;23;31
CRS3035RES200mN3129200E3783200;C200M;A;59183;85;32;7;7;3;24;3;1729481.2;2718;5;27;1;0;32;23;15
CRS3035RES200mN3129400E3783200;C200M;A;59183;101;41;0;7;2;35;1;2369678.8;3664;0;41;2;0;41;12;21
CRS3035RES200mN3129200E3783000;C200M;A;59271,59183;77.5;27;8;4;3;9;3;1407644.9;2504;0;27;18;0;27;17.5;19
CRS3035RES200mN3129400E3783000;C200M;A;59271,59183;109;33;10;8;11;3;3;1711940.3;2576;0;33;30;0;33;33;17
